model,language,flores_code,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
Mistral-Small-3.2,French,fra_Latn,1.905,3.23,0.0,0.0,91.53,0.0,48.22,48802,25618,157638,1012
Teuken-7B,French,fra_Latn,1.97,3.123,0.0,0.0,65.25,97.04,49.88,50475,25618,157638,1012
EuroLLM-22B,French,fra_Latn,1.525,4.034,2.03,0.0,80.51,100.0,38.61,39075,25618,157638,1012
SauerkrautLM-70B,French,fra_Latn,1.697,3.626,0.6,0.0,100.0,100.0,42.96,43472,25618,157638,1012
GEITje-7B,French,fra_Latn,1.872,3.288,0.38,0.0,76.27,100.0,47.38,47945,25618,157638,1012
TildeOpen-30B,French,fra_Latn,2.472,2.489,0.0,0.0,83.05,0.0,62.58,63326,25618,157638,1012
Mistral-Small-3.2,German,deu_Latn,2.162,3.269,0.0,0.0,92.59,0.0,46.49,47045,21760,153809,1012
Teuken-7B,German,deu_Latn,1.538,4.596,0.01,0.0,68.52,99.7,33.07,33464,21760,153809,1012
EuroLLM-22B,German,deu_Latn,1.623,4.354,0.03,0.0,82.41,100.0,34.91,35326,21760,153809,1012
SauerkrautLM-70B,German,deu_Latn,1.975,3.579,0.65,0.0,100.0,100.0,42.46,42974,21760,153809,1012
GEITje-7B,German,deu_Latn,2.18,3.242,0.01,0.0,81.48,100.0,46.88,47442,21760,153809,1012
TildeOpen-30B,German,deu_Latn,2.581,2.739,0.0,0.0,85.19,0.0,55.49,56156,21760,153809,1012
Mistral-Small-3.2,Spanish,spa_Latn,1.857,3.242,0.0,0.0,96.15,0.0,47.86,48430,26081,156997,1012
Teuken-7B,Spanish,spa_Latn,1.335,4.509,0.0,0.0,72.12,99.8,34.4,34815,26081,156997,1012
EuroLLM-22B,Spanish,spa_Latn,1.383,4.353,0.02,0.0,83.65,100.0,35.64,36065,26081,156997,1012
SauerkrautLM-70B,Spanish,spa_Latn,1.604,3.752,0.65,0.0,100.0,100.0,41.35,41843,26081,156997,1012
GEITje-7B,Spanish,spa_Latn,1.809,3.328,0.01,0.0,80.77,100.0,46.62,47178,26081,156997,1012
TildeOpen-30B,Spanish,spa_Latn,2.542,2.368,0.0,0.0,87.5,0.0,65.52,66310,26081,156997,1012
Mistral-Small-3.2,Italian,ita_Latn,1.919,3.347,0.0,0.0,93.4,0.0,46.1,46650,24311,156138,1012
Teuken-7B,Italian,ita_Latn,1.868,3.438,0.0,0.0,67.92,99.6,44.88,45415,24311,156138,1012
EuroLLM-22B,Italian,ita_Latn,1.482,4.335,0.04,0.0,82.08,100.0,35.59,36019,24311,156138,1012
SauerkrautLM-70B,Italian,ita_Latn,1.831,3.508,0.58,0.0,100.0,100.0,43.98,44511,24311,156138,1012
GEITje-7B,Italian,ita_Latn,1.992,3.225,0.01,0.0,80.19,100.0,47.84,48416,24311,156138,1012
TildeOpen-30B,Italian,ita_Latn,2.727,2.355,0.0,0.0,83.96,0.0,65.51,66293,24311,156138,1012
Mistral-Small-3.2,Portuguese,por_Latn,1.985,3.086,0.0,0.0,93.86,0.0,45.93,46478,23413,143418,1012
Teuken-7B,Portuguese,por_Latn,1.372,4.463,0.0,0.0,68.42,99.31,31.75,32133,23413,143418,1012
EuroLLM-22B,Portuguese,por_Latn,1.418,4.321,0.05,0.0,80.7,100.0,32.79,33188,23413,143418,1012
SauerkrautLM-70B,Portuguese,por_Latn,1.709,3.585,0.74,0.0,100.0,100.0,39.53,40005,23413,143418,1012
GEITje-7B,Portuguese,por_Latn,1.985,3.087,0.0,0.0,76.32,100.0,45.91,46465,23413,143418,1012
TildeOpen-30B,Portuguese,por_Latn,2.662,2.302,0.0,0.0,83.33,0.0,61.58,62315,23413,143418,1012
Mistral-Small-3.2,Dutch,nld_Latn,1.905,3.367,0.0,0.0,95.28,0.0,43.29,43813,22999,147507,1012
Teuken-7B,Dutch,nld_Latn,2.031,3.158,0.01,0.0,66.04,99.7,46.15,46702,22999,147507,1012
EuroLLM-22B,Dutch,nld_Latn,1.489,4.307,0.02,0.0,80.19,100.0,33.84,34248,22999,147507,1012
SauerkrautLM-70B,Dutch,nld_Latn,1.888,3.397,0.62,0.0,99.06,100.0,42.9,43419,22999,147507,1012
GEITje-7B,Dutch,nld_Latn,2.082,3.081,0.01,0.0,77.36,100.0,47.31,47875,22999,147507,1012
TildeOpen-30B,Dutch,nld_Latn,2.724,2.355,0.0,0.0,83.02,0.0,61.9,62645,22999,147507,1012
Gemma-4,Turkish,tur_Latn,2.109,3.655,0.96,0.0,100.0,100.0,36.7,37142,17609,135761,1012
Gemma-4,French,fra_Latn,1.49,4.129,2.04,0.0,98.31,100.0,37.73,38180,25618,157638,1012
Gemma-4,German,deu_Latn,1.655,4.27,0.01,0.0,100.0,100.0,35.59,36020,21760,153809,1012
Gemma-4,Spanish,spa_Latn,1.347,4.47,0.0,0.0,100.0,100.0,34.71,35125,26081,156997,1012
Gemma-4,Portuguese,por_Latn,1.453,4.215,0.0,0.0,100.0,100.0,33.62,34022,23413,143418,1012
Gemma-4,Italian,ita_Latn,1.535,4.185,0.0,0.0,100.0,100.0,36.87,37313,24311,156138,1012
Gemma-4,Dutch,nld_Latn,1.63,3.935,0.01,0.0,100.0,100.0,37.05,37490,22999,147507,1012
Gemma-4,Polish,pol_Latn,2.096,3.415,1.94,0.0,100.0,100.0,40.37,40850,19488,139483,1012
Gemma-4,Russian,rus_Cyrl,1.884,3.838,0.01,0.0,99.33,100.0,36.58,37023,19655,142096,1012
Gemma-4,Ukrainian,ukr_Cyrl,2.273,3.083,0.0,0.0,100.0,100.0,43.09,43605,19181,134446,1012
Gemma-4,Romanian,ron_Latn,1.8,3.479,2.4,0.0,100.0,100.0,42.2,42702,23729,148571,1012
Gemma-4,Swedish,swe_Latn,1.841,3.543,0.0,0.0,100.0,100.0,36.86,37303,20267,132173,1012
Gemma-4,Czech,ces_Latn,2.157,3.077,1.51,0.0,99.13,100.0,40.87,41359,19178,127257,1012
Gemma-4,Greek,ell_Grek,2.472,2.666,0.0,0.0,100.0,100.0,58.39,59088,23899,157539,1012
Llama-3.3-70B,French,fra_Latn,1.697,3.626,0.6,0.0,100.0,100.0,42.96,43472,25618,157638,1012
Llama-3.3-70B,German,deu_Latn,1.975,3.579,0.65,0.0,100.0,100.0,42.46,42974,21760,153809,1012
Llama-3.3-70B,Spanish,spa_Latn,1.604,3.752,0.65,0.0,100.0,100.0,41.35,41843,26081,156997,1012
Llama-3.3-70B,Italian,ita_Latn,1.831,3.508,0.58,0.0,100.0,100.0,43.98,44511,24311,156138,1012
Llama-3.3-70B,Portuguese,por_Latn,1.709,3.585,0.74,0.0,100.0,100.0,39.53,40005,23413,143418,1012
Llama-3.3-70B,Dutch,nld_Latn,1.888,3.397,0.62,0.0,99.06,100.0,42.9,43419,22999,147507,1012
Llama-3.3-70B,Polish,pol_Latn,2.636,2.715,0.57,0.0,97.17,100.0,50.76,51371,19488,139483,1012
Mistral-Small-3.2,Polish,pol_Latn,2.707,2.644,0.0,0.0,88.68,0.0,52.13,52755,19488,139483,1012
Teuken-7B,Polish,pol_Latn,1.659,4.315,1.52,0.0,70.75,99.6,31.94,32325,19488,139483,1012
EuroLLM-22B,Polish,pol_Latn,1.806,3.963,1.23,0.0,83.02,100.0,34.78,35198,19488,139483,1012
SauerkrautLM-70B,Polish,pol_Latn,2.636,2.715,0.57,0.0,97.17,100.0,50.76,51371,19488,139483,1012
GEITje-7B,Polish,pol_Latn,2.924,2.447,3.58,0.0,81.13,100.0,56.32,56991,19488,139483,1012
TildeOpen-30B,Polish,pol_Latn,2.769,2.585,0.76,0.0,84.91,0.0,53.32,53959,19488,139483,1012
Llama-3.3-70B,Romanian,ron_Latn,2.139,2.928,0.86,0.0,98.21,100.0,50.15,50748,23729,148571,1012
Mistral-Small-3.2,Romanian,ron_Latn,2.118,2.956,0.0,0.0,90.18,0.0,49.67,50267,23729,148571,1012
Teuken-7B,Romanian,ron_Latn,1.479,4.233,1.23,0.0,68.75,99.7,34.68,35096,23729,148571,1012
EuroLLM-22B,Romanian,ron_Latn,1.749,3.58,1.87,0.0,83.93,100.0,41.01,41505,23729,148571,1012
SauerkrautLM-70B,Romanian,ron_Latn,2.139,2.928,0.86,0.0,98.21,100.0,50.15,50748,23729,148571,1012
GEITje-7B,Romanian,ron_Latn,2.291,2.733,4.48,0.0,77.68,100.0,53.73,54370,23729,148571,1012
TildeOpen-30B,Romanian,ron_Latn,2.476,2.529,0.36,0.0,86.61,0.0,58.05,58746,23729,148571,1012
Llama-3.3-70B,Ukrainian,ukr_Cyrl,2.326,3.014,0.63,0.0,99.32,100.0,44.08,44606,19181,134446,1012
Mistral-Small-3.2,Ukrainian,ukr_Cyrl,0.171,40.94,0.0,0.0,51.7,0.0,3.25,3284,19181,134446,1012
Teuken-7B,Ukrainian,ukr_Cyrl,3.384,2.071,2.01,0.0,76.19,99.7,64.13,64904,19181,134446,1012
EuroLLM-22B,Ukrainian,ukr_Cyrl,2.172,3.227,0.02,0.0,88.44,100.0,41.17,41665,19181,134446,1012
SauerkrautLM-70B,Ukrainian,ukr_Cyrl,2.326,3.014,0.63,0.0,99.32,100.0,44.08,44606,19181,134446,1012
GEITje-7B,Ukrainian,ukr_Cyrl,3.026,2.316,0.0,0.0,85.71,100.0,57.35,58039,19181,134446,1012
TildeOpen-30B,Ukrainian,ukr_Cyrl,2.794,2.509,0.0,0.0,90.48,0.0,52.96,53596,19181,134446,1012
Llama-3.3-70B,Swedish,swe_Latn,2.103,3.101,0.71,0.0,100.0,100.0,42.12,42624,20267,132173,1012
Mistral-Small-3.2,Swedish,swe_Latn,2.283,2.857,0.0,0.0,94.29,0.0,45.72,46268,20267,132173,1012
Teuken-7B,Swedish,swe_Latn,1.495,4.361,0.0,0.0,72.38,99.8,29.95,30309,20267,132173,1012
EuroLLM-22B,Swedish,swe_Latn,1.766,3.692,0.01,0.0,86.67,100.0,35.37,35799,20267,132173,1012
SauerkrautLM-70B,Swedish,swe_Latn,2.103,3.101,0.71,0.0,100.0,100.0,42.12,42624,20267,132173,1012
GEITje-7B,Swedish,swe_Latn,2.279,2.862,0.0,0.0,83.81,100.0,45.64,46187,20267,132173,1012
TildeOpen-30B,Swedish,swe_Latn,2.815,2.317,0.0,0.0,88.57,0.0,56.38,57053,20267,132173,1012
Llama-3.3-70B,Czech,ces_Latn,2.131,3.114,0.72,0.0,98.26,100.0,40.38,40864,19178,127257,1012
Mistral-Small-3.2,Czech,ces_Latn,2.731,2.429,0.09,0.0,85.22,0.0,51.76,52382,19178,127257,1012
Teuken-7B,Czech,ces_Latn,1.633,4.063,0.3,0.0,66.96,99.7,30.95,31321,19178,127257,1012
EuroLLM-22B,Czech,ces_Latn,2.016,3.291,1.11,0.0,80.0,100.0,38.21,38671,19178,127257,1012
SauerkrautLM-70B,Czech,ces_Latn,2.131,3.114,0.72,0.0,98.26,100.0,40.38,40864,19178,127257,1012
GEITje-7B,Czech,ces_Latn,2.915,2.277,2.73,0.0,74.78,100.0,55.24,55898,19178,127257,1012
TildeOpen-30B,Czech,ces_Latn,2.793,2.376,0.34,0.0,82.61,0.0,52.92,53557,19178,127257,1012
Llama-3.3-70B,Greek,ell_Grek,2.538,2.598,0.58,0.0,96.73,100.0,59.93,60649,23899,157539,1012
Mistral-Small-3.2,Greek,ell_Grek,0.139,47.552,0.0,0.0,53.59,0.0,3.27,3313,23899,157539,1012
Teuken-7B,Greek,ell_Grek,1.701,3.875,0.0,0.0,77.12,99.01,40.17,40655,23899,157539,1012
EuroLLM-22B,Greek,ell_Grek,2.126,3.101,0.06,0.0,85.62,100.0,50.2,50806,23899,157539,1012
SauerkrautLM-70B,Greek,ell_Grek,2.538,2.598,0.58,0.0,96.73,100.0,59.93,60649,23899,157539,1012
GEITje-7B,Greek,ell_Grek,6.581,1.002,0.09,0.0,48.37,100.0,155.41,157270,23899,157539,1012
TildeOpen-30B,Greek,ell_Grek,7.193,0.916,0.61,0.0,52.29,0.0,169.86,171899,23899,157539,1012
Llama-3.3-70B,Russian,rus_Cyrl,2.234,3.236,0.68,0.0,100.0,100.0,43.4,43916,19655,142096,1012
Mistral-Small-3.2,Russian,rus_Cyrl,0.173,41.904,0.0,0.0,54.0,0.0,3.35,3391,19655,142096,1012
Teuken-7B,Russian,rus_Cyrl,2.841,2.545,0.69,0.0,78.0,99.51,55.17,55837,19655,142096,1012
EuroLLM-22B,Russian,rus_Cyrl,1.868,3.869,0.05,0.0,86.0,100.0,36.29,36724,19655,142096,1012
SauerkrautLM-70B,Russian,rus_Cyrl,2.234,3.236,0.68,0.0,100.0,100.0,43.4,43916,19655,142096,1012
GEITje-7B,Russian,rus_Cyrl,2.831,2.554,0.0,0.0,84.67,100.0,54.98,55637,19655,142096,1012
TildeOpen-30B,Russian,rus_Cyrl,2.767,2.613,0.0,0.0,88.0,0.0,53.73,54379,19655,142096,1012
Llama-3.3-70B,Danish,dan_Latn,2.044,3.09,0.66,0.0,100.0,100.0,43.2,43714,21383,135083,1012
Mistral-Small-3.2,Danish,dan_Latn,2.101,3.007,0.01,0.0,91.89,0.0,44.39,44921,21383,135083,1012
Teuken-7B,Danish,dan_Latn,1.459,4.329,0.0,0.0,70.27,99.7,30.83,31205,21383,135083,1012
EuroLLM-22B,Danish,dan_Latn,1.701,3.714,0.02,0.0,83.78,100.0,35.94,36371,21383,135083,1012
SauerkrautLM-70B,Danish,dan_Latn,2.044,3.09,0.66,0.0,100.0,100.0,43.2,43714,21383,135083,1012
GEITje-7B,Danish,dan_Latn,2.279,2.772,0.01,0.0,78.38,100.0,48.15,48731,21383,135083,1012
TildeOpen-30B,Danish,dan_Latn,2.753,2.295,0.0,0.0,86.49,0.0,58.17,58864,21383,135083,1012
Aya-Vision-32B,Danish,dan_Latn,2.078,3.04,0.63,0.0,99.1,100.0,43.91,44433,21383,135083,1012
Llama-3.3-70B,Finnish,fin_Latn,3.373,2.599,0.5,0.0,100.0,100.0,53.28,53923,15985,140128,1012
Mistral-Small-3.2,Finnish,fin_Latn,3.244,2.702,0.01,0.0,92.23,0.0,51.24,51859,15985,140128,1012
Teuken-7B,Finnish,fin_Latn,1.905,4.602,0.01,0.0,66.99,99.8,30.09,30449,15985,140128,1012
EuroLLM-22B,Finnish,fin_Latn,2.435,3.601,0.02,0.0,81.55,100.0,38.46,38917,15985,140128,1012
SauerkrautLM-70B,Finnish,fin_Latn,3.373,2.599,0.5,0.0,100.0,100.0,53.28,53923,15985,140128,1012
GEITje-7B,Finnish,fin_Latn,3.776,2.322,0.01,0.0,77.67,100.0,59.64,60355,15985,140128,1012
TildeOpen-30B,Finnish,fin_Latn,3.16,2.774,0.0,0.0,85.44,0.0,49.91,50508,15985,140128,1012
Aya-Vision-32B,Finnish,fin_Latn,3.268,2.683,0.52,0.0,100.0,100.0,51.62,52236,15985,140128,1012
Llama-3.3-70B,Hungarian,hun_Latn,3.071,2.412,0.63,0.0,99.08,100.0,56.78,57463,18712,138629,1012
Mistral-Small-3.2,Hungarian,hun_Latn,3.19,2.322,0.0,0.0,89.91,0.0,58.98,59690,18712,138629,1012
Teuken-7B,Hungarian,hun_Latn,1.749,4.237,0.01,0.0,71.56,99.8,32.33,32721,18712,138629,1012
EuroLLM-22B,Hungarian,hun_Latn,2.219,3.339,0.02,0.0,84.4,100.0,41.03,41519,18712,138629,1012
SauerkrautLM-70B,Hungarian,hun_Latn,3.071,2.412,0.63,0.0,99.08,100.0,56.78,57463,18712,138629,1012
GEITje-7B,Hungarian,hun_Latn,3.214,2.305,0.0,0.0,79.82,100.0,59.44,60149,18712,138629,1012
TildeOpen-30B,Hungarian,hun_Latn,3.434,2.158,0.0,0.0,84.4,0.0,63.49,64251,18712,138629,1012
