model,language,flores_code,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
Aya-Vision-32B,Hungarian,hun_Latn,3.005,2.466,0.65,0.0,98.17,100.0,55.56,56225,18712,138629,1012
Llama-3.3-70B,Turkish,tur_Latn,2.163,3.564,0.74,0.0,100.0,100.0,37.64,38095,17609,135761,1012
Mistral-Small-3.2,Turkish,tur_Latn,3.09,2.495,11.48,0.0,91.67,0.0,53.76,54410,17609,135761,1012
Teuken-7B,Turkish,tur_Latn,3.257,2.367,11.11,0.0,67.59,99.7,56.68,57361,17609,135761,1012
EuroLLM-22B,Turkish,tur_Latn,2.109,3.655,0.75,0.0,83.33,100.0,36.7,37143,17609,135761,1012
SauerkrautLM-70B,Turkish,tur_Latn,2.163,3.564,0.74,0.0,100.0,100.0,37.64,38095,17609,135761,1012
GEITje-7B,Turkish,tur_Latn,3.776,2.042,9.58,0.0,77.78,100.0,65.71,66494,17609,135761,1012
TildeOpen-30B,Turkish,tur_Latn,2.77,2.783,0.17,0.0,86.11,0.0,48.2,48782,17609,135761,1012
Aya-Vision-32B,Turkish,tur_Latn,1.864,4.136,0.74,0.0,99.07,100.0,32.44,32827,17609,135761,1012
Llama-3.3-70B,Croatian,hrv_Latn,2.455,2.686,0.63,0.0,100.0,100.0,47.36,47930,19523,128727,1012
Mistral-Small-3.2,Croatian,hrv_Latn,2.283,2.888,3.62,0.0,86.36,0.0,44.04,44569,19523,128727,1012
Teuken-7B,Croatian,hrv_Latn,1.609,4.097,0.04,0.0,68.18,98.91,31.05,31422,19523,128727,1012
EuroLLM-22B,Croatian,hrv_Latn,1.902,3.466,0.47,0.0,81.82,100.0,36.7,37137,19523,128727,1012
SauerkrautLM-70B,Croatian,hrv_Latn,2.455,2.686,0.63,0.0,100.0,100.0,47.36,47930,19523,128727,1012
GEITje-7B,Croatian,hrv_Latn,2.732,2.413,2.76,0.0,80.0,100.0,52.71,53346,19523,128727,1012
TildeOpen-30B,Croatian,hrv_Latn,2.714,2.43,0.14,0.0,84.55,0.0,52.35,52978,19523,128727,1012
Aya-Vision-32B,Croatian,hrv_Latn,2.349,2.806,0.63,0.0,99.09,100.0,45.32,45868,19523,128727,1012
Llama-3.3-70B,Slovak,slk_Latn,2.561,2.631,0.71,0.0,96.64,100.0,49.48,50069,19547,131710,1012
Mistral-Small-3.2,Slovak,slk_Latn,2.651,2.541,3.13,0.0,87.39,0.0,51.21,51824,19547,131710,1012
Teuken-7B,Slovak,slk_Latn,2.125,3.171,1.69,0.0,66.39,99.8,41.04,41533,19547,131710,1012
EuroLLM-22B,Slovak,slk_Latn,1.996,3.376,0.65,0.0,83.19,100.0,38.55,39015,19547,131710,1012
SauerkrautLM-70B,Slovak,slk_Latn,2.561,2.631,0.71,0.0,96.64,100.0,49.48,50069,19547,131710,1012
GEITje-7B,Slovak,slk_Latn,2.989,2.254,2.49,0.0,76.47,100.0,57.73,58427,19547,131710,1012
TildeOpen-30B,Slovak,slk_Latn,2.767,2.435,0.16,0.0,84.87,0.0,53.45,54088,19547,131710,1012
Aya-Vision-32B,Slovak,slk_Latn,2.33,2.892,0.78,0.0,96.64,100.0,45.0,45540,19547,131710,1012
Llama-3.3-70B,Slovenian,slv_Latn,2.422,2.679,0.57,0.0,100.0,100.0,48.26,48842,20169,130855,1012
Mistral-Small-3.2,Slovenian,slv_Latn,2.23,2.909,0.11,0.0,91.92,0.0,44.45,44980,20169,130855,1012
Teuken-7B,Slovenian,slv_Latn,1.558,4.165,0.03,0.0,72.73,99.8,31.05,31421,20169,130855,1012
EuroLLM-22B,Slovenian,slv_Latn,1.871,3.467,0.37,0.0,84.85,100.0,37.3,37745,20169,130855,1012
SauerkrautLM-70B,Slovenian,slv_Latn,2.422,2.679,0.57,0.0,100.0,100.0,48.26,48842,20169,130855,1012
GEITje-7B,Slovenian,slv_Latn,2.654,2.444,1.98,0.0,84.85,100.0,52.9,53538,20169,130855,1012
TildeOpen-30B,Slovenian,slv_Latn,2.704,2.4,0.07,0.0,85.86,0.0,53.88,54527,20169,130855,1012
Aya-Vision-32B,Slovenian,slv_Latn,2.271,2.857,0.62,0.0,100.0,100.0,45.26,45805,20169,130855,1012
Llama-3.3-70B,Bulgarian,bul_Cyrl,2.59,2.49,0.54,0.0,99.32,100.0,54.69,55349,21369,137824,1012
Mistral-Small-3.2,Bulgarian,bul_Cyrl,0.154,41.879,0.0,0.0,55.41,0.0,3.25,3291,21369,137824,1012
Teuken-7B,Bulgarian,bul_Cyrl,1.704,3.784,0.0,0.0,80.41,99.7,35.99,36422,21369,137824,1012
EuroLLM-22B,Bulgarian,bul_Cyrl,1.898,3.397,0.08,0.0,88.51,100.0,40.09,40568,21369,137824,1012
SauerkrautLM-70B,Bulgarian,bul_Cyrl,2.59,2.49,0.54,0.0,99.32,100.0,54.69,55349,21369,137824,1012
GEITje-7B,Bulgarian,bul_Cyrl,2.703,2.387,0.0,0.0,85.81,100.0,57.07,57751,21369,137824,1012
TildeOpen-30B,Bulgarian,bul_Cyrl,2.622,2.46,0.0,0.0,90.54,0.0,55.37,56032,21369,137824,1012
Aya-Vision-32B,Bulgarian,bul_Cyrl,2.279,2.83,0.63,0.0,99.32,100.0,48.12,48696,21369,137824,1012
Llama-3.3-70B,Lithuanian,lit_Latn,3.349,2.237,3.29,0.0,95.92,100.0,57.57,58265,17397,130329,1012
Mistral-Small-3.2,Lithuanian,lit_Latn,2.669,2.807,0.0,0.0,88.78,0.0,45.88,46435,17397,130329,1012
Teuken-7B,Lithuanian,lit_Latn,1.742,4.3,1.67,0.0,73.47,99.8,29.95,30309,17397,130329,1012
EuroLLM-22B,Lithuanian,lit_Latn,2.193,3.417,2.24,0.0,83.67,100.0,37.69,38145,17397,130329,1012
SauerkrautLM-70B,Lithuanian,lit_Latn,3.349,2.237,3.29,0.0,95.92,100.0,57.57,58265,17397,130329,1012
GEITje-7B,Lithuanian,lit_Latn,3.429,2.184,6.06,0.0,80.61,100.0,58.96,59663,17397,130329,1012
TildeOpen-30B,Lithuanian,lit_Latn,2.979,2.515,1.24,0.0,84.69,0.0,51.21,51829,17397,130329,1012
Aya-Vision-32B,Lithuanian,lit_Latn,2.938,2.549,0.51,0.0,97.96,100.0,50.51,51121,17397,130329,1012
Llama-3.3-70B,Latvian,lvs_Latn,3.394,2.142,1.47,0.0,90.99,100.0,61.9,62638,18454,134157,1012
Mistral-Small-3.2,Latvian,lvs_Latn,2.981,2.438,1.05,0.0,85.59,0.0,54.37,55018,18454,134157,1012
Teuken-7B,Latvian,lvs_Latn,1.71,4.252,0.94,0.0,70.27,99.7,31.18,31550,18454,134157,1012
EuroLLM-22B,Latvian,lvs_Latn,2.16,3.366,3.02,0.0,83.78,100.0,39.38,39852,18454,134157,1012
SauerkrautLM-70B,Latvian,lvs_Latn,3.394,2.142,1.47,0.0,90.99,100.0,61.9,62638,18454,134157,1012
GEITje-7B,Latvian,lvs_Latn,3.571,2.036,14.54,0.0,72.07,100.0,65.11,65895,18454,134157,1012
TildeOpen-30B,Latvian,lvs_Latn,2.857,2.544,0.92,0.0,86.49,0.0,52.11,52732,18454,134157,1012
Aya-Vision-32B,Latvian,lvs_Latn,3.094,2.349,0.77,0.0,91.89,100.0,56.43,57104,18454,134157,1012
Llama-3.3-70B,Estonian,est_Latn,3.018,2.565,0.56,0.0,100.0,100.0,49.88,50480,16729,129459,1012
Mistral-Small-3.2,Estonian,est_Latn,2.823,2.741,0.0,0.0,88.5,0.0,46.66,47222,16729,129459,1012
Teuken-7B,Estonian,est_Latn,1.814,4.267,0.0,0.0,71.68,99.6,29.98,30340,16729,129459,1012
EuroLLM-22B,Estonian,est_Latn,2.226,3.476,0.05,0.0,83.19,100.0,36.8,37244,16729,129459,1012
SauerkrautLM-70B,Estonian,est_Latn,3.018,2.565,0.56,0.0,100.0,100.0,49.88,50480,16729,129459,1012
GEITje-7B,Estonian,est_Latn,3.304,2.342,0.0,0.0,81.42,100.0,54.62,55275,16729,129459,1012
TildeOpen-30B,Estonian,est_Latn,3.031,2.553,0.0,0.0,86.73,0.0,50.1,50704,16729,129459,1012
Aya-Vision-32B,Estonian,est_Latn,2.884,2.683,0.59,0.0,98.23,100.0,47.68,48250,16729,129459,1012
Llama-3.3-70B,Irish,gle_Latn,2.399,2.467,0.44,0.0,100.0,100.0,61.08,61818,25772,152481,1012
Mistral-Small-3.2,Irish,gle_Latn,2.329,2.54,0.0,0.0,91.89,0.0,59.32,60028,25772,152481,1012
Teuken-7B,Irish,gle_Latn,2.068,2.861,0.0,0.0,70.27,99.7,52.67,53299,25772,152481,1012
EuroLLM-22B,Irish,gle_Latn,1.799,3.289,0.02,0.0,83.78,100.0,45.81,46363,25772,152481,1012
SauerkrautLM-70B,Irish,gle_Latn,2.399,2.467,0.44,0.0,100.0,100.0,61.08,61818,25772,152481,1012
GEITje-7B,Irish,gle_Latn,2.664,2.221,0.01,0.0,79.28,100.0,67.84,68652,25772,152481,1012
TildeOpen-30B,Irish,gle_Latn,2.84,2.083,0.0,0.0,86.49,0.0,72.32,73186,25772,152481,1012
Aya-Vision-32B,Irish,gle_Latn,2.301,2.572,0.59,0.0,99.1,100.0,58.59,59291,25772,152481,1012
Llama-3.3-70B,Norwegian,nob_Latn,1.981,3.128,0.75,0.0,100.0,100.0,41.75,42246,21321,132138,1012
Mistral-Small-3.2,Norwegian,nob_Latn,2.033,3.049,0.0,0.0,95.37,0.0,42.83,43339,21321,132138,1012
Teuken-7B,Norwegian,nob_Latn,1.665,3.722,0.0,0.0,70.37,99.7,35.08,35503,21321,132138,1012
EuroLLM-22B,Norwegian,nob_Latn,1.674,3.702,0.02,0.0,83.33,100.0,35.27,35695,21321,132138,1012
SauerkrautLM-70B,Norwegian,nob_Latn,1.981,3.128,0.75,0.0,100.0,100.0,41.75,42246,21321,132138,1012
GEITje-7B,Norwegian,nob_Latn,2.231,2.777,0.01,0.0,78.7,100.0,47.01,47575,21321,132138,1012
TildeOpen-30B,Norwegian,nob_Latn,2.719,2.279,0.0,0.0,86.11,0.0,57.28,57970,21321,132138,1012
Aya-Vision-32B,Norwegian,nob_Latn,2.02,3.069,0.7,0.0,99.07,100.0,42.55,43061,21321,132138,1012
Llama-3.3-70B,Maltese,mlt_Latn,3.383,2.243,1.5,0.0,94.78,100.0,64.43,65207,19275,146288,1012
Mistral-Small-3.2,Maltese,mlt_Latn,2.854,2.66,4.79,0.0,90.43,0.0,54.35,55003,19275,146288,1012
Teuken-7B,Maltese,mlt_Latn,2.155,3.522,0.15,0.0,70.43,99.7,41.04,41537,19275,146288,1012
EuroLLM-22B,Maltese,mlt_Latn,2.495,3.041,1.69,0.0,82.61,100.0,47.53,48098,19275,146288,1012
SauerkrautLM-70B,Maltese,mlt_Latn,3.383,2.243,1.5,0.0,94.78,100.0,64.43,65207,19275,146288,1012
GEITje-7B,Maltese,mlt_Latn,3.569,2.126,7.98,0.0,75.65,100.0,67.98,68795,19275,146288,1012
TildeOpen-30B,Maltese,mlt_Latn,3.558,2.133,1.26,0.0,85.22,0.0,67.78,68590,19275,146288,1012
Aya-Vision-32B,Maltese,mlt_Latn,3.185,2.383,1.65,0.0,95.65,100.0,60.67,61398,19275,146288,1012
Llama-3.3-70B,Serbian,srp_Cyrl,2.866,2.205,3.82,0.0,97.24,100.0,58.59,59298,20688,130780,1012
Mistral-Small-3.2,Serbian,srp_Cyrl,0.136,46.376,0.0,0.0,53.1,0.0,2.79,2820,20688,130780,1012
Teuken-7B,Serbian,srp_Cyrl,2.761,2.289,8.15,0.0,74.48,99.7,56.44,57122,20688,130780,1012
EuroLLM-22B,Serbian,srp_Cyrl,2.652,2.384,3.53,0.0,82.07,100.0,54.21,54856,20688,130780,1012
SauerkrautLM-70B,Serbian,srp_Cyrl,2.866,2.205,3.82,0.0,97.24,100.0,58.59,59298,20688,130780,1012
GEITje-7B,Serbian,srp_Cyrl,2.755,2.295,0.0,0.0,82.07,100.0,56.32,56995,20688,130780,1012
TildeOpen-30B,Serbian,srp_Cyrl,2.674,2.364,0.0,0.0,88.97,0.0,54.67,55330,20688,130780,1012
Aya-Vision-32B,Serbian,srp_Cyrl,2.625,2.408,4.61,0.0,93.79,100.0,53.66,54305,20688,130780,1012
Llama-3.3-70B,Icelandic,isl_Latn,2.796,2.283,0.64,0.0,99.12,100.0,56.18,56857,20333,129783,1012
Mistral-Small-3.2,Icelandic,isl_Latn,2.776,2.299,0.0,0.0,90.27,0.0,55.77,56440,20333,129783,1012
Teuken-7B,Icelandic,isl_Latn,2.721,2.346,0.7,0.0,69.03,99.8,54.66,55319,20333,129783,1012
EuroLLM-22B,Icelandic,isl_Latn,2.687,2.376,0.02,0.0,82.3,100.0,53.98,54631,20333,129783,1012
SauerkrautLM-70B,Icelandic,isl_Latn,2.796,2.283,0.64,0.0,99.12,100.0,56.18,56857,20333,129783,1012
GEITje-7B,Icelandic,isl_Latn,3.087,2.068,0.01,0.0,78.76,100.0,62.02,62768,20333,129783,1012
TildeOpen-30B,Icelandic,isl_Latn,3.091,2.065,0.0,0.0,84.96,0.0,62.11,62859,20333,129783,1012
Aya-Vision-32B,Icelandic,isl_Latn,2.676,2.385,0.57,0.0,99.12,100.0,53.77,54415,20333,129783,1012
Llama-3.3-70B,Albanian,als_Latn,2.454,2.435,0.48,0.0,100.0,100.0,59.67,60386,24611,147064,1012
Mistral-Small-3.2,Albanian,als_Latn,2.438,2.451,0.0,0.0,95.74,0.0,59.29,60000,24611,147064,1012
Teuken-7B,Albanian,als_Latn,2.765,2.161,0.01,0.0,69.15,99.6,67.24,68049,24611,147064,1012
EuroLLM-22B,Albanian,als_Latn,2.503,2.387,0.02,0.0,81.91,100.0,60.88,61611,24611,147064,1012
SauerkrautLM-70B,Albanian,als_Latn,2.454,2.435,0.48,0.0,100.0,100.0,59.67,60386,24611,147064,1012
GEITje-7B,Albanian,als_Latn,2.886,2.071,0.0,0.0,79.79,100.0,70.17,71017,24611,147064,1012
TildeOpen-30B,Albanian,als_Latn,2.839,2.105,0.0,0.0,85.11,0.0,69.04,69869,24611,147064,1012
Aya-Vision-32B,Albanian,als_Latn,2.507,2.383,0.48,0.0,98.94,100.0,60.97,61705,24611,147064,1012
Aya-Vision-32B,French,fra_Latn,1.415,4.349,0.72,0.0,100.0,100.0,35.82,36246,25618,157638,1012
Aya-Vision-32B,German,deu_Latn,1.635,4.324,0.76,0.0,99.07,100.0,35.15,35572,21760,153809,1012
Aya-Vision-32B,Spanish,spa_Latn,1.297,4.642,0.78,0.0,100.0,100.0,33.42,33824,26081,156997,1012
Aya-Vision-32B,Italian,ita_Latn,1.464,4.387,0.73,0.0,99.06,100.0,35.17,35591,24311,156138,1012
Aya-Vision-32B,Portuguese,por_Latn,1.331,4.601,0.93,0.0,100.0,100.0,30.8,31170,23413,143418,1012
Aya-Vision-32B,Dutch,nld_Latn,1.483,4.325,0.78,0.0,98.11,100.0,33.7,34109,22999,147507,1012
Aya-Vision-32B,Polish,pol_Latn,1.847,3.874,0.74,0.0,100.0,100.0,35.57,36001,19488,139483,1012
Aya-Vision-32B,Romanian,ron_Latn,1.569,3.99,0.74,0.0,99.11,100.0,36.8,37238,23729,148571,1012
Aya-Vision-32B,Ukrainian,ukr_Cyrl,1.946,3.602,0.76,0.0,100.0,100.0,36.89,37329,19181,134446,1012
Aya-Vision-32B,Swedish,swe_Latn,2.118,3.079,0.7,0.0,100.0,100.0,42.42,42932,20267,132173,1012
Aya-Vision-32B,Czech,ces_Latn,1.805,3.676,0.84,0.0,99.13,100.0,34.21,34620,19178,127257,1012
Aya-Vision-32B,Greek,ell_Grek,1.789,3.684,0.69,0.0,98.69,100.0,42.25,42760,23899,157539,1012
Aya-Vision-32B,Russian,rus_Cyrl,1.736,4.164,0.87,0.0,100.0,100.0,33.72,34123,19655,142096,1012
Gemma-4,Albanian,als_Latn,2.148,2.781,0.0,0.0,100.0,100.0,52.25,52876,24611,147064,1012
Gemma-4,Slovenian,slv_Latn,2.109,3.076,0.77,0.0,98.99,100.0,42.04,42542,20169,130855,1012
